,Cell,MSE,Passed,MAPE
5126,ALKGI13L,182.85,0.015957,10.61
1389,ALKGI17L,450.57,0.001997,14.42
3904,ALKGI22L,362.75,0.003991,14.43
2139,ALKGI23L,168.25,0.010970,10.40
3114,ALKGI27L,99.86,0.031445,7.56
3835,ALMET11L,6.74,0.000998,1.87
1877,ALMET12L,84.24,0.000997,7.07
2249,ALMET13L,36.96,0.001005,4.52
679,ALMET17L,85.19,0.000997,7.20
892,ALMET21L,12.18,0.000998,2.27
1624,ALMET22L,88.55,0.000997,7.90
4711,ALMET23L,45.75,0.000997,5.23
1964,ALMET27L,48.94,0.000000,5.45
2597,ALMET31L,4.45,0.000999,1.68
1821,ALMET32L,79.39,0.008028,7.31
829,ALMET33L,60.06,0.001259,5.23
476,ALMET37L,63.19,0.000000,5.70
3479,ALOAS11L,34.77,0.000997,4.07
1332,ALOAS12L,93.42,0.000000,6.65
2684,ALOAS13L,32.01,0.001000,4.74
3569,ALOAS17L,51.51,0.000998,6.19
4513,ALOAS21L,58.37,0.000998,5.14
5046,ALOAS22L,81.81,0.000997,7.66
1059,ALOAS23L,56.98,0.000000,5.97
5180,ALOAS31L,16.76,0.001995,3.11
2884,ALOAS32L,69.67,0.000997,6.90
449,ALOAS33L,51.77,0.000998,5.89
1138,ALOKA16L,37.37,0.000997,4.99
5020,ALOKA17L,54.58,0.003598,5.46
3885,ALOKA36L,-,-,-
1578,ALOKA37L,65.28,0.001986,6.25
1745,ALOVA11L,46.40,0.008026,5.16
607,ALOVA16L,92.79,0.000997,8.73
2812,ALOVA17L,71.02,0.000000,6.63
1336,ALOVA21L,32.75,0.001994,3.27
4535,ALOVA26L,64.75,0.000000,6.75
2676,ALOVA27L,27.46,0.000998,3.95
4547,ALPAZ11L,77.48,0.008063,7.18
3148,ALPAZ17L,158.10,0.002992,9.92
2825,ALPAZ21L,86.33,0.002959,6.30
65,ALPAZ22L,316.88,0.000000,13.72
4188,ALPAZ23L,133.11,0.001995,8.24
3994,ALPAZ27L,209.43,0.002993,10.89
1954,ALPAZ31L,26.37,0.004987,3.60
3825,ALPAZ32L,303.29,0.002991,13.04
1077,ALPAZ33L,127.65,0.000999,9.05
4894,ALPAZ37L,189.41,0.008299,10.00
1163,ALYBE11L,22.82,0.000000,3.33
4857,ALYBE17L,324.36,0.001997,15.23
903,ALYBE27L,29.70,0.000995,4.17
2008,ALYBE37L,47.63,0.000997,5.55
290,ALYNS12L,298.58,0.002990,11.22
978,ALYNS13L,158.24,0.008045,8.60
2054,ALYNS17L,250.90,0.002025,11.80
1711,ALYNS21L,35.07,0.005982,4.09
5021,ALYNS22L,163.73,0.008059,9.80
2325,ALYNS23L,178.30,0.003991,8.54
2086,ALYNS24L,210.57,0.008022,11.36
4305,ALYNS26L,287.73,0.000998,15.27
3233,ALYNS27L,118.66,0.028954,7.62
1486,ALYNS31L,22.91,0.002994,3.29
3163,ALYNS32L,399.42,0.000995,16.04
2733,ALYNS33L,276.95,0.001995,13.01
2401,ALYNS37L,309.75,0.000997,12.60
3947,ALYUN12L,101.32,0.001994,8.09
2147,ALYUN13L,69.54,0.000000,6.74
125,ALYUN16L,48.60,0.000997,6.31
48,ALYUN17L,105.77,0.001995,6.05
4304,ALYUN22L,350.71,0.000995,13.99
5103,ALYUN26L,75.37,0.001997,7.55
4137,ALYUN27L,55.17,0.002009,5.94
2302,ALYUN36L,16.44,0.000997,3.45
3750,ALYUN37L,163.54,0.000000,9.28
3949,ANKOY17L,90.86,0.000000,7.18
1892,ANKOY22L,55.27,0.000000,5.47
4871,ANKOY27L,106.48,0.004990,6.56
1750,ANKOY32L,51.25,0.000997,5.79
2833,ANKOY33L,34.76,0.002992,4.27
4316,ANKOY37L,58.02,0.000995,5.49
1808,APORT11L,51.99,0.000000,5.02
3683,APORT12L,848.87,0.000000,27.01
2620,APORT13L,136.53,0.001999,8.71
1793,APORT17L,59.59,0.000000,5.72
2222,APORT21L,168.65,0.003991,8.51
144,APORT22L,306.22,0.002993,13.06
5070,APORT23L,363.22,0.005981,13.06
1583,APORT24L,310.29,0.000000,13.99
1327,APORT26L,159.44,0.000000,10.88
909,APORT27L,316.24,0.014958,12.85
1475,APORT31L,201.74,0.000998,10.92
1361,APORT32L,181.63,0.008030,10.83
2988,APORT33L,124.94,0.000996,7.86
2576,APORT34L,199.33,0.000997,10.50
3514,APORT36L,32.01,0.000993,4.87
3988,APORT37L,296.66,0.000997,10.17
4638,ARMON11L,115.91,0.000000,7.85
1992,ARMON12L,170.36,0.002991,10.22
535,ARMON13L,158.92,0.003989,9.59
3113,ARMON17L,111.82,0.002991,7.91
2617,ARMON21L,36.26,0.010044,4.10
1184,ARMON22L,107.04,0.000998,7.07
405,ARMON23L,76.51,0.026926,6.64
2639,ARMON24L,91.93,0.000997,7.48
5104,ARMON27L,92.18,0.010037,7.04
3282,ARMON77L,361.56,0.000997,13.93
2321,ATCAH12L,16.85,0.000000,2.95
1427,ATCAH13L,169.90,0.000998,7.07
1598,ATCAH17L,47.18,0.000000,5.60
3900,ATCAH27L,70.18,0.000998,5.78
661,ATCAH37L,120.66,0.000997,8.39
4612,ATMAK11L,8.11,0.000996,2.25
1049,ATMAK21L,26.59,0.002993,3.46
1769,ATMAK22L,38.86,0.000997,4.86
4869,ATMAK23L,12.06,0.000997,2.89
250,ATMAK31L,25.27,0.001994,3.53
1032,ATMAK32L,20.94,0.000000,3.69
3725,ATMAK33L,31.29,0.000997,4.50
2263,ATMAK34L,50.96,0.000997,5.56
4773,ATMAK37L,167.56,0.000000,9.87
1500,AVANT17L,100.35,0.001994,6.93
2303,AVANT22L,230.93,0.000998,11.60
3911,AVANT23L,58.98,0.003988,4.49
4561,AVANT27L,92.03,0.001995,7.53
3805,AVENU11L,8.19,0.000993,2.22
27,AVENU12L,33.77,0.000996,4.49
3887,AVENU14L,14.25,0.000997,2.98
1047,AVENU17L,37.36,0.000997,4.44
1055,AVENU27L,41.27,0.000997,5.27
2537,AYANA12L,68.74,0.003990,6.47
1994,AYANA17L,70.87,0.023937,6.50
3789,AYANA22L,136.55,0.002010,9.49
4126,AYANA27L,85.44,0.008048,7.03
4079,AYANA32L,72.27,0.000998,6.63
194,AYANA37L,114.14,0.000000,8.16
