,Cell,MSE,Passed,MAPE
4832,BODTT31L,15.51,0.000000,2.61
3255,BODTT32L,163.28,0.000000,9.61
1967,BODTT33L,73.45,0.000000,6.73
4146,BODTT34L,181.41,0.002992,9.95
4110,BODTT37L,2.94,0.000000,1.28
1642,BODTV12L,37.02,0.000000,3.65
3295,BODTV13L,13.13,0.000000,2.94
1558,BODTV17L,10.52,0.000999,2.50
1728,BODUN12L,66.99,0.008017,6.62
2260,BODUN13L,40.54,0.000000,4.82
2529,BODUN17L,76.55,0.000000,7.48
1064,BODUN22L,59.98,0.008031,5.60
336,BODUN27L,8.72,0.000000,2.37
947,BODUN77L,666.35,0.000000,20.12
1639,BODYA11L,81.00,0.000000,6.18
2721,BODYA12L,275.74,0.002014,15.04
1336,BODYA13L,49.10,0.008060,5.53
544,BODYA14L,85.59,0.000000,6.70
3195,BODYA15L,40.64,0.000000,4.52
1222,BODYA17L,82.05,0.008016,7.48
5152,BODYA21L,14.23,0.008022,2.55
1402,BODYA22L,147.89,0.000000,8.83
4112,BODYA23L,78.85,0.000000,6.42
2147,BODYA24L,104.04,0.000000,7.93
412,BODYA25L,59.68,0.002044,5.39
3224,BODYA27L,149.67,0.010021,8.69
932,BODYA31L,71.93,0.000000,6.96
4657,BODYA32L,126.45,0.002014,8.91
4939,BODYA33L,107.89,0.002048,7.78
5110,BODYA34L,89.08,0.002050,6.95
2635,BODYA35L,38.65,0.008018,4.78
2203,BODYA37L,129.78,0.000000,8.72
3825,BOGOL11L,33.74,0.008009,4.32
5137,BOGOL12L,93.14,0.000000,7.59
1710,BOGOL13L,75.08,0.002018,7.07
4053,BOGOL14L,88.52,0.000000,6.41
3165,BOGOL15L,41.38,0.008045,5.06
2345,BOGOL17L,105.92,0.008013,8.14
4685,BOGOL21L,20.09,0.000997,3.22
2971,BOGOL22L,79.45,0.008014,7.31
3409,BOGOL23L,89.85,0.000000,6.42
1139,BOGOL24L,45.17,0.000000,4.14
1726,BOGOL25L,57.07,0.000000,6.01
3257,BOGOL27L,95.53,0.000000,7.09
3783,BOGOL31L,22.16,0.000000,3.73
